id,cluster
71859,42
83389,37
27327,157
212,204
57158,10
264660,174
43920,4
9693,123
11906,170
15371,94
10637,67
10683,120
4347,74
337703,16
221731,231
475,19
14813,32
11344,25
389015,20
71,56
319,57
19101,16
2649,35
625,26
983,39
812,195
1360,160
12498,4
11030,175
379,73
923,172
966,34
3063,175
1904,126
11658,146
293660,228
44214,203
109,68
9912,4
63,215
4982,19
489925,7
11704,182
64690,73
11798,73
11171,4
451657,24
808,21
688,127
51739,58
16958,15
1933,1
11481,59
16372,60
277834,131
72478,118
11159,24
284293,4
85350,118
10435,20
16619,4
382614,24
491418,7
1902,42
339,82
251516,143
782,190
15472,161
198375,43
1913,108
14433,158
127585,111
211954,7
1726,111
38757,32
14836,32
15764,74
574,161
10784,6
11474,223
1051,81
383498,228
407445,160
284053,111
7500,81
3035,137
14257,175
63311,1
9340,61
186,161
404378,29
433247,26
14919,138
10787,62
290,7
6620,70
212167,44
630,45
338,216
626,5
9549,96
491584,35
137,63
4638,164
967,201
6404,49
74879,64
79,201
902,134
3580,176
28874,32
59436,145
13310,136
451915,20
1554,129
948,17
9366,15
4550,42
10747,34
4951,65
984,81
323272,43
315846,7
4553,42
9504,52
828,66
177945,24
218,123
1954,91
11901,34
7452,19
1052,35
11471,27
649,127
12102,124
9289,30
5967,50
1523,4
9571,118
10110,26
265180,4
2056,11
571,172
9665,14
532,142
377263,126
26963,58
228205,46
10843,82
419430,170
863,142
530,200
10549,113
43949,43
407449,4
11206,238
7913,7
334541,4
74308,4
1407,152
11816,24
22881,67
37903,68
226,64
11969,34
786,56
219,23
486947,15
783,30
1883,96
650,19
8321,129
8740,17
11545,7
19067,14
154,92
14282,102
273895,96
138843,17
5723,6
11943,34
330459,18
22584,223
11549,178
12837,39
24226,4
11688,21
203833,4
522,7
9462,227
363,46
3085,23
11970,21
1372,72
819,15
11829,34
11178,23
27632,172
12163,43
1542,175
2134,224
9385,69
4174,35
13689,4
601,208
10734,40
1023,129
575,42
9008,42
779,240
10911,146
9428,7
4922,41
416477,23
921,126
37181,4
2292,165
429174,4
137106,21
129670,39
394117,2
16320,224
1251,8
205220,4
13932,95
10950,4
374720,8
4133,19
69,6
36040,108
252,206
6037,204
228150,8
1088,113
11368,15
10794,233
260,31
13321,42
1949,161
7214,67
13475,18
616,158
356296,15
11202,30
41201,37
7863,20
157354,4
503314,150
266,4
38985,76
140607,220
329865,9
13446,7
16563,56
18,92
18333,49
132344,5
11615,47
3109,70
339403,227
2291,68
14534,71
194662,82
2757,129
281957,85
179144,7
1847,161
74643,23
192,35
33273,72
57361,73
101299,134
620,180
76341,215
1579,223
802,113
258480,3
9495,141
7549,110
274109,39
36557,76
1541,85
10377,7
10849,188
11713,218
11881,29
1116,108
16646,96
293863,46
687,54
417261,6
1594,97
206487,91
2640,11
892,196
433498,83
9016,208
239877,129
4203,7
11349,42
190859,14
4543,165
13635,117
11544,32
388,225
348678,7
12140,174
11663,56
2898,36
227306,71
1923,68
340666,42
763,55
289222,83
271674,74
6916,148
395834,47
140823,83
34653,43
10086,129
9461,141
145,3
856,21
8055,48
9559,15
30197,175
3110,4
193756,72
1653,4
6003,75
376290,42
284689,30
10518,53
2501,72
228326,21
318781,126
839,141
6644,34
7249,200
40794,23
17159,175
153,23
12481,141
2034,117
318121,7
13008,19
8440,27
286192,32
436343,43
8356,43
658,76
88273,126
11426,14
568,96
713,127
76758,26
1791,154
335984,91
8741,30
19995,140
9509,198
152603,46
49020,77
4689,218
9662,7
340,7
165213,167
621,50
377273,4
284054,111
187,81
8424,23
398173,78
38234,141
639,13
9075,8
488,74
106,92
10400,20
9299,230
75656,100
332270,74
376867,24
304357,4
4584,43
10795,161
9516,25
2666,199
4476,74
259316,187
121875,118
11661,30
315635,44
21484,79
250538,4
37135,119
420814,80
2798,175
54138,140
132363,20
8810,224
17529,4
1254,24
21191,117
690,27
176,106
11589,205
3933,195
127533,201
196,213
94329,81
1677,113
2639,82
64682,43
7862,8
1429,27
5506,97
33997,4
249164,48
10654,211
500664,212
492,63
20246,161
307081,207
82695,96
399404,83
1669,76
840,174
2503,173
13041,231
76543,43
1359,78
13151,21
5503,179
590,4
15152,164
11499,96
11850,190
881,4
2252,12
756,32
11644,167
245168,83
342737,24
51241,46
11963,167
209274,4
11772,170
3766,52
22538,84
248933,4
38142,43
407448,47
228203,4
519035,36
850,237
17654,98
312221,67
10024,108
10669,85
10617,110
161,0
14736,65
134,228
853,74
34647,115
246,231
114150,36
12207,105
9056,81
19666,6
13368,211
1368,76
345,35
8374,81
111969,7
10149,7
37094,15
177,216
427,105
116,33
4816,19
12762,86
30497,172
10234,59
381,33
760,86
10437,192
197082,4
457,120
44716,2
271110,111
9589,4
63310,19
1813,35
37472,207
1725,50
284052,111
70670,0
766,157
9539,59
87827,231
22803,15
88,6
11416,201
506,161
140,33
242,15
256040,110
469,11
319373,4
8681,141
45317,87
4147,15
146,139
152780,68
325113,4
11305,129
239571,43
3176,85
764,172
801,14
447332,153
794,17
21641,88
99861,18
4771,176
228194,4
33511,20
10139,83
391713,7
459,126
866,24
11072,175
39107,89
16633,121
15999,220
9361,146
420622,160
401104,90
15196,12
2841,74
10360,83
11868,172
686,174
77016,15
220289,91
10474,19
2759,7
46838,232
353081,209
169881,201
375315,54
628,240
6114,172
11450,96
104,72
814,232
9550,139
551,231
830,137
855,158
470,15
458423,165
3089,34
273481,198
5590,63
65754,161
353728,4
10144,32
462,20
11639,180
20312,80
922,115
299537,18
16520,50
10511,53
10644,36
9652,42
114,77
2028,65
191714,43
454983,36
167073,43
76589,138
205587,24
606,126
119450,215
318846,7
507076,59
338766,15
1640,90
58857,231
6145,167
13597,241
400617,124
436,15
5123,114
82690,131
14202,36
242643,81
11101,30
109445,95
168259,217
403431,7
1433,177
399055,115
2502,203
17814,141
11296,96
10860,23
338189,4
1544,23
11528,163
426613,4
180,212
4688,115
16307,170
340613,124
9267,175
297762,241
12162,203
9609,5
404368,21
537996,7
11457,24
81188,58
623,97
837,199
205601,4
4011,180
2756,92
9918,4
323677,93
449749,43
10925,55
232,25
10994,113
18785,175
245913,93
425,69
80278,42
2654,170
11837,39
1895,18
122917,10
361292,1
472451,4
419639,42
429197,83
10112,69
5825,237
844,121
44264,113
24804,148
406990,66
11020,68
49538,18
13183,190
25846,7
4415,126
350,23
9325,95
377,60
3131,96
15370,16
10440,149
11230,148
1491,46
57212,8
68734,162
1850,7
69315,66
39324,235
45612,190
403,7
9013,94
11051,4
381288,214
19908,55
271714,152
11462,101
11524,0
1598,38
11044,63
9470,164
451,43
9474,175
9464,129
37799,4
594,82
12473,19
11886,32
9426,137
227,19
813,175
10647,23
474354,15
110398,96
296098,162
340027,20
45958,4
11485,97
10772,34
34433,95
771,237
87,226
5236,12
374461,2
129112,4
1262,63
15080,43
381289,206
250480,32
287495,30
465914,19
19913,70
695,216
30890,56
5693,67
294016,20
859,43
5902,30
61791,123
11660,15
50646,23
324849,21
51828,46
167,174
138,240
11673,126
243,23
11236,16
59468,219
1278,154
20352,142
476299,170
4518,96
4441,43
130925,206
504603,97
86829,53
199,92
49051,10
9388,7
916,117
2998,43
1427,19
8293,108
10693,195
1878,219
6978,150
12289,231
65229,4
2657,120
11646,30
1213,15
